pH,EC,W_Temp,A_Temp,Humid,CO2,Light_on_off,Water_cooler,Air_Cooler,Air_Vent,Dehumidifier,Humidifier,Acid_Dozer,Base_Dozer,Nutrient_Dozer,Distilled_Water_Dozer,Binary,Decimal_Label
5.53,0.91,21.92,18.95,79.5,616,1,0,0,0,0,0,0,1,0,0,00000010,2
5.76,0.85,27.87,19.84,70.9,1069,0,1,0,1,0,0,0,1,0,0,10100010,162
6.5,1.23,27.28,17.38,78.0,607,0,1,0,0,0,0,0,0,0,1,10000000,128
6.09,0.95,23.81,16.06,74.6,350,0,1,0,0,0,0,0,0,0,0,10000000,128
6.1,1.19,22.2,19.65,60.0,1049,0,1,0,1,0,0,0,0,0,0,10100000,160
5.86,1.03,26.12,22.58,81.5,448,0,1,0,0,1,0,0,0,0,0,10010000,144
6.08,0.57,21.34,20.81,74.2,1030,0,0,0,1,0,0,0,0,1,0,00100001,33
5.83,1.36,19.1,18.49,78.7,357,0,0,0,0,0,0,0,0,0,1,00000000,0
6.47,1.14,18.12,25.37,93.2,840,0,0,1,0,1,0,0,0,0,0,01010000,80
5.52,0.52,27.07,17.94,90.7,390,0,1,0,0,1,0,0,1,1,0,10010011,147
6.12,0.36,16.1,17.51,82.8,850,0,0,0,0,1,0,0,0,1,0,00010001,17
6.34,0.48,27.05,18.37,52.1,745,0,1,0,0,0,1,0,0,1,0,10001001,137
5.55,1.12,24.38,21.07,51.0,600,0,1,0,0,0,1,0,1,0,0,10001010,138
5.96,0.36,20.7,26.91,91.2,323,1,0,1,0,1,0,0,0,1,0,01010001,81
5.56,0.59,17.82,25.37,55.8,855,1,0,1,0,0,1,0,1,1,0,01001011,75
6.26,1.3,20.28,25.46,86.3,753,0,0,1,0,1,0,0,0,0,1,01010000,80
5.64,0.32,20.1,21.06,80.3,434,1,0,0,0,1,0,0,1,1,0,00010011,19
6.68,1.38,17.44,18.59,66.8,703,1,0,0,0,0,0,1,0,0,1,00000100,4
6.24,0.58,16.4,16.73,76.4,577,1,0,0,0,0,0,0,0,1,0,00000001,1
6.73,0.61,23.87,23.43,73.4,587,0,1,0,0,0,0,1,0,0,0,10000100,132
6.45,0.36,26.09,24.65,62.1,1019,1,1,1,1,0,0,0,0,1,0,11100001,225
5.82,1.38,23.61,27.86,67.6,1047,0,1,1,1,0,0,0,0,0,1,11100000,224
5.74,0.41,17.52,22.35,74.0,452,0,0,0,0,0,0,0,1,1,0,00000011,3
6.89,0.34,27.54,23.73,59.6,1088,1,1,0,1,0,1,1,0,1,0,10101101,173
