pH,EC,W_Temp,A_Temp,Humid,CO2,Light_on_off,Water_cooler,Air_Cooler,Air_Vent,Dehumidifier,Humidifier,Acid_Dozer,Base_Dozer,Nutrient_Dozer,Distilled_Water_Dozer,Binary,Decimal_Label
6.87,1.2,22.29,27.75,88.1,315,0,1,1,0,1,0,1,0,0,0,11010100,212
5.72,1.0,25.62,25.88,65.7,609,1,1,1,0,0,0,0,1,0,0,11000010,194
6.7,1.32,23.2,22.46,61.8,391,0,1,0,0,0,0,1,0,0,1,10000100,132
5.65,1.29,25.49,24.63,84.4,859,0,1,1,0,1,0,0,1,0,1,11010010,210
6.57,0.65,25.51,26.63,71.4,610,1,1,1,0,0,0,1,0,0,0,11000100,196
6.35,0.63,21.58,22.65,58.6,745,0,0,0,0,0,1,0,0,0,0,00001000,8
5.49,0.65,23.81,21.91,85.0,1045,0,1,0,1,1,0,0,1,0,0,10110010,178
5.7,0.73,18.01,21.99,57.3,749,1,0,0,0,0,1,0,1,0,0,00001010,10
6.17,1.03,16.64,20.33,75.9,923,0,0,0,0,0,0,0,0,0,0,00000000,0
5.4,1.23,17.22,20.93,58.6,540,1,0,0,0,0,1,0,1,0,1,00001010,10
6.46,1.21,26.86,27.4,73.3,744,0,1,1,0,0,0,0,0,0,1,11000000,192
6.14,0.78,21.81,23.14,72.8,1047,1,0,0,1,0,0,0,0,0,0,00100000,32
5.57,0.83,27.17,25.66,72.7,819,0,1,1,0,0,0,0,1,0,0,11000010,194
6.37,1.21,27.22,20.05,77.8,863,0,1,0,0,0,0,0,0,0,1,10000000,128
6.58,0.52,27.9,19.55,61.2,380,1,1,0,0,0,0,1,0,1,0,10000101,133
5.66,0.8,18.97,23.53,87.4,633,1,0,0,0,1,0,0,1,0,0,00010010,18
6.52,0.5,21.79,27.93,77.8,671,1,0,1,0,0,0,1,0,1,0,01000101,69
6.4,0.37,23.1,17.3,78.4,322,1,1,0,0,0,0,0,0,1,0,10000001,129
6.25,0.98,17.14,18.98,57.1,1066,1,0,0,1,0,1,0,0,0,0,00101000,40
5.76,1.0,17.7,25.05,55.7,318,0,0,1,0,0,1,0,1,0,0,01001010,74
6.88,1.43,17.78,17.89,66.0,1040,1,0,0,1,0,0,1,0,0,1,00100100,36
6.32,0.75,22.77,22.64,70.4,800,1,1,0,0,0,0,0,0,0,0,10000000,128
6.19,0.38,17.33,16.93,63.2,488,0,0,0,0,0,0,0,0,1,0,00000001,1
5.94,0.72,16.23,18.82,58.8,365,0,0,0,0,0,1,0,0,0,0,00001000,8
6.14,1.37,26.83,25.22,60.1,785,1,1,1,0,0,0,0,0,0,1,11000000,192
5.87,1.49,23.09,22.36,59.2,584,0,1,0,0,0,1,0,0,0,1,10001000,136
5.85,0.78,24.01,23.61,68.6,964,0,1,0,0,0,0,0,0,0,0,10000000,128
6.48,1.12,20.57,17.86,65.7,927,0,0,0,0,0,0,0,0,0,0,00000000,0
5.6,1.46,27.98,26.61,89.9,779,1,1,1,0,1,0,0,1,0,1,11010010,210
5.96,1.3,23.12,26.57,67.9,955,1,1,1,0,0,0,0,0,0,1,11000000,192
5.71,1.2,23.83,22.7,77.6,702,1,1,0,0,0,0,0,1,0,0,10000010,130
6.04,0.35,27.87,24.94,92.4,1072,0,1,1,1,1,0,0,0,1,0,11110001,241
6.47,0.83,25.41,20.23,72.5,668,0,1,0,0,0,0,0,0,0,0,10000000,128
5.87,0.92,24.59,19.08,60.2,679,0,1,0,0,0,0,0,0,0,0,10000000,128
6.41,0.99,21.61,17.26,87.7,826,0,0,0,0,1,0,0,0,0,0,00010000,16
5.81,0.6,22.37,22.83,94.7,429,1,1,0,0,1,0,0,0,0,0,10010000,144
5.7,0.65,23.87,17.05,81.3,579,0,1,0,0,1,0,0,1,0,0,10010010,146
5.48,1.26,24.98,25.41,77.6,716,1,1,1,0,0,0,0,1,0,1,11000010,194
6.89,0.83,16.19,25.88,92.2,953,0,0,1,0,1,0,1,0,0,0,01010100,84
6.0,1.23,16.16,25.17,89.1,324,1,0,1,0,1,0,0,0,0,1,01010000,80
6.76,1.48,20.99,23.75,92.9,880,1,0,0,0,1,0,1,0,0,1,00010100,20
5.77,0.67,23.94,17.04,80.7,1003,0,1,0,1,1,0,0,1,0,0,10110010,178
5.98,0.83,17.5,20.58,86.6,611,1,0,0,0,1,0,0,0,0,0,00010000,16
6.58,0.69,20.06,26.99,86.6,314,1,0,1,0,1,0,1,0,0,0,01010100,84
5.85,1.15,16.7,25.48,58.8,1032,1,0,1,1,0,1,0,0,0,0,01101000,104
6.37,0.32,27.56,18.44,64.1,754,0,1,0,0,0,0,0,0,1,0,10000001,129
6.67,1.24,23.99,16.48,87.5,989,0,1,0,0,1,0,1,0,0,1,10010100,148
6.75,0.53,25.07,21.03,81.5,857,0,1,0,0,1,0,1,0,1,0,10010101,149
5.85,0.93,23.05,23.21,69.7,630,1,1,0,0,0,0,0,0,0,0,10000000,128
6.47,0.7,23.76,27.15,55.7,634,1,1,1,0,0,1,0,0,0,0,11001000,200
5.45,0.36,25.37,21.96,64.3,445,1,1,0,0,0,0,0,1,1,0,10000011,131
6.12,0.75,26.6,25.12,82.2,853,0,1,1,0,1,0,0,0,0,0,11010000,208
5.93,1.28,16.44,23.46,54.7,708,1,0,0,0,0,1,0,0,0,1,00001000,8
5.62,0.67,25.74,20.67,86.5,437,1,1,0,0,1,0,0,1,0,0,10010010,146
5.45,0.47,22.71,21.96,69.8,983,1,1,0,0,0,0,0,1,1,0,10000011,131
5.57,1.18,26.92,17.58,65.7,875,1,1,0,0,0,0,0,1,0,0,10000010,130
5.5,1.14,23.89,23.16,79.8,506,1,1,0,0,0,0,0,1,0,0,10000010,130
5.58,1.18,22.13,18.2,74.7,883,1,1,0,0,0,0,0,1,0,0,10000010,130
6.43,0.97,18.61,21.36,77.7,830,0,0,0,0,0,0,0,0,0,0,00000000,0
5.58,0.79,24.77,25.27,81.0,375,1,1,1,0,1,0,0,1,0,0,11010010,210
6.79,0.69,20.59,16.3,54.2,496,0,0,0,0,0,1,1,0,0,0,00001100,12
5.99,1.39,21.94,21.47,72.6,1095,0,0,0,1,0,0,0,0,0,1,00100000,32
6.67,1.22,27.37,23.42,69.1,660,0,1,0,0,0,0,1,0,0,1,10000100,132
6.82,1.03,26.96,20.6,57.9,865,0,1,0,0,0,1,1,0,0,0,10001100,140
6.39,1.49,25.72,20.12,70.6,604,0,1,0,0,0,0,0,0,0,1,10000000,128
6.82,1.4,27.94,16.08,59.3,935,0,1,0,0,0,1,1,0,0,1,10001100,140
5.62,0.52,26.07,18.55,66.3,489,0,1,0,0,0,0,0,1,1,0,10000011,131
6.78,0.82,23.26,22.73,63.3,1074,0,1,0,1,0,0,1,0,0,0,10100100,164
5.91,1.19,16.18,24.71,67.3,889,0,0,1,0,0,0,0,0,0,0,01000000,64
6.31,1.09,23.62,26.93,86.2,869,1,1,1,0,1,0,0,0,0,0,11010000,208
6.15,0.34,20.24,16.78,51.0,691,1,0,0,0,0,1,0,0,1,0,00001001,9
6.9,0.88,20.58,21.7,74.8,1030,1,0,0,1,0,0,1,0,0,0,00100100,36
6.87,0.58,21.24,25.78,69.1,663,0,0,1,0,0,0,1,0,1,0,01000101,69
6.55,0.72,19.89,27.49,74.6,889,1,0,1,0,0,0,1,0,0,0,01000100,68
5.8,1.14,27.44,23.79,68.4,610,0,1,0,0,0,0,0,0,0,0,10000000,128
6.59,0.88,26.96,23.11,72.1,471,1,1,0,0,0,0,1,0,0,0,10000100,132
6.3,1.11,21.5,26.61,86.5,825,0,0,1,0,1,0,0,0,0,0,01010000,80
6.55,1.14,24.38,23.09,79.8,735,0,1,0,0,0,0,1,0,0,0,10000100,132
6.43,0.44,16.86,25.92,92.1,1005,1,0,1,1,1,0,0,0,1,0,01110001,113
5.96,0.83,27.54,23.08,74.9,863,0,1,0,0,0,0,0,0,0,0,10000000,128
6.24,1.12,23.11,18.06,93.5,428,0,1,0,0,1,0,0,0,0,0,10010000,144
5.53,1.0,26.46,20.71,55.4,993,1,1,0,0,0,1,0,1,0,0,10001010,138
5.81,0.57,27.69,24.68,83.7,722,0,1,1,0,1,0,0,0,1,0,11010001,209
5.75,0.8,27.71,27.32,74.1,495,1,1,1,0,0,0,0,1,0,0,11000010,194
6.76,0.5,25.58,23.79,93.3,300,1,1,0,0,1,0,1,0,1,0,10010101,149
6.4,1.35,18.71,25.0,60.1,686,1,0,1,0,0,0,0,0,0,1,01000000,64
6.79,0.47,19.86,24.0,54.1,967,0,0,0,0,0,1,1,0,1,0,00001101,13
