profile,candidate,days,coverage_difference_pp,low_pp,high_pp
cpu_contention,current_b0_poll,10,0.0,0.0,0.0
cpu_contention,durable_b0_poll,10,0.0,0.0,0.0
cpu_contention,recovery_b16_deadline,10,-34.3677494199536,-36.568239311915,-32.93239585901696
cpu_contention,recovery_b16_poll,10,-50.435034802784216,-51.68816502263907,-49.58371491740768
cpu_contention,recovery_b1_deadline,10,-2.726218097447796,-5.215907175904648,-0.9859304172800695
idle,current_b0_poll,10,0.0,0.0,0.0
idle,durable_b0_poll,10,0.0,0.0,0.0
idle,recovery_b16_deadline,10,-34.3677494199536,-36.73279521214143,-32.85325510032363
idle,recovery_b16_poll,10,-50.435034802784216,-51.65449175170129,-49.58327952173871
idle,recovery_b1_deadline,10,-2.726218097447796,-5.453417811917698,-1.1523476756539466
injected_delay_loss,current_b0_poll,10,0.0,0.0,0.0
injected_delay_loss,durable_b0_poll,10,-97.61214230471771,-98.9844847557638,-95.71829106223186
injected_delay_loss,recovery_b16_deadline,10,-93.38747099767981,-98.39306867305892,-84.61645768163713
injected_delay_loss,recovery_b16_poll,10,-98.2308584686775,-99.0672908592552,-97.22530346092516
injected_delay_loss,recovery_b1_deadline,10,-97.62180974477958,-99.03721451456727,-95.6989647305463
