case,repeat,initial_status,resolved,blocked,effects,crashed,lookup_seconds,recovery_seconds,passed
lost_ack,0,completed,True,False,1,False,0.00019314797827973962,0.008779025985859334,True
lost_ack,1,completed,True,False,1,False,0.0001604679855518043,0.008618447987828404,True
lost_ack,2,completed,True,False,1,False,0.00017352798022329807,0.00862590700853616,True
delayed_after_not_found,0,not_found,True,False,1,False,0.00014173903036862612,0.2944928289507516,True
delayed_after_not_found,1,not_found,True,False,1,False,0.0001304789911955595,0.2948440559557639,True
delayed_after_not_found,2,not_found,True,False,1,False,0.00020192802185192704,0.29519492300460115,True
cancel_before_arrival,0,not_found,True,False,0,False,0.00014930800534784794,0.2988938170019537,True
cancel_before_arrival,1,not_found,True,False,0,False,0.00013881799532100558,0.29883036797400564,True
cancel_before_arrival,2,not_found,True,False,0,False,0.0001388789969496429,0.2971433639759198,True
cancel_after_accept,0,pending,True,False,0,False,0.00017414899775758386,0.29166847601300105,True
cancel_after_accept,1,pending,True,False,0,False,0.00017870799638330936,0.2918301150202751,True
cancel_after_accept,2,pending,True,False,0,False,0.0001777879660949111,0.29176284495042637,True
mock_restart_pending,0,pending,True,False,1,False,0.00020308798411861062,0.2969980150228366,True
mock_restart_pending,1,pending,True,False,1,False,0.00017060799291357398,0.2959754850016907,True
mock_restart_pending,2,pending,True,False,1,False,0.00021376798395067453,0.2961917939828709,True
unavailable,0,completed,False,True,1,False,0.00019047799287363887,,True
unavailable,1,completed,False,True,1,False,0.0001660780399106443,,True
unavailable,2,completed,False,True,1,False,0.000145388999953866,,True
wrong_id,0,completed,False,True,1,False,0.00017681904137134552,,True
wrong_id,1,completed,False,True,1,False,0.00017993804067373276,,True
wrong_id,2,completed,False,True,1,False,0.0001832580310292542,,True
contradictory,0,completed,False,True,1,False,0.00015194801380857825,,True
contradictory,1,completed,False,True,1,False,0.00015955802518874407,,True
contradictory,2,completed,False,True,1,False,0.00016302801668643951,,True
before_reconcile_commit,0,completed,True,False,1,True,0.00016092800069600344,0.02963456604629755,True
before_reconcile_commit,1,completed,True,False,1,True,0.00020998797845095396,0.02983120403951034,True
before_reconcile_commit,2,completed,True,False,1,True,0.00017549801850691438,0.0318068650085479,True
after_reconcile_commit,0,completed,True,False,1,True,0.00018467800691723824,0.03165010700467974,True
after_reconcile_commit,1,completed,True,False,1,True,0.00016532797599211335,0.030354820017237216,True
after_reconcile_commit,2,completed,True,False,1,True,0.00017745897639542818,0.0298603440169245,True
