candidate,profile,condition,opportunities,matched,undesirable,evaluated_outputs,repeated_outputs,expired_outputs,cooldown_violations,reconciled,unresolved,reconciliation_queries,reconciliation_bytes,bytes,recovery_seconds_sum,max_recovery_seconds,coverage_pct,undesirable_pct,mean_recovery_seconds,added_traffic_pct
current_b0_poll,cpu_contention,blocking,10344,10275,60,10326,0,0,0,0.0,0,0.0,0.0,2355732,0.0,0.0,99.33294663573086,0.5810575246949448,,0.0
current_b0_poll,idle,blocking,10344,10275,60,10326,0,0,0,0.0,0,0.0,0.0,2355732,0.0,0.0,99.33294663573086,0.5810575246949448,,0.0
current_b0_poll,injected_delay_loss,blocking,10344,10259,57,10309,0,0,0,0.0,0,0.0,0.0,2355732,0.0,0.0,99.17826759474092,0.552914928703075,,0.0
durable_b0_poll,cpu_contention,available,10344,10275,60,10326,0,0,0,0.0,0,0.0,0.0,2355732,0.0,0.0,99.33294663573086,0.5810575246949448,,0.0
durable_b0_poll,cpu_contention,blocking,10344,10275,60,10326,0,0,0,0.0,0,0.0,0.0,2355732,0.0,0.0,99.33294663573086,0.5810575246949448,,0.0
durable_b0_poll,idle,available,10344,10275,60,10326,0,0,0,0.0,0,0.0,0.0,2355732,0.0,0.0,99.33294663573086,0.5810575246949448,,0.0
durable_b0_poll,idle,blocking,10344,10275,60,10326,0,0,0,0.0,0,0.0,0.0,2355732,0.0,0.0,99.33294663573086,0.5810575246949448,,0.0
durable_b0_poll,injected_delay_loss,available,10344,10259,57,10309,0,0,0,720.0,0,720.0,277874.0,2355732,11520.0,16.0,99.17826759474092,0.552914928703075,16.0,11.795654174583527
durable_b0_poll,injected_delay_loss,blocking,10344,162,0,162,0,0,0,0.0,18,0.0,0.0,2355732,0.0,0.0,1.5661252900232019,0.0,,0.0
durable_b0_poll,injected_delay_loss,contradictory,10344,162,0,162,0,0,0,0.0,18,72.0,27472.0,2355732,0.0,0.0,1.5661252900232019,0.0,,1.1661767977002477
durable_b0_poll,injected_delay_loss,delayed_32,10344,10259,57,10309,0,0,0,720.0,0,2160.0,493564.0,2355732,34560.0,48.0,99.17826759474092,0.552914928703075,48.0,20.951619284366814
durable_b0_poll,injected_delay_loss,unavailable,10344,162,0,162,0,0,0,0.0,18,72.0,10688.0,2355732,0.0,0.0,1.5661252900232019,0.0,,0.45370186421885
